city,tiff_file,mask_file
Chicago,dataset/urban_patches/urban_LC80220312019257LGN00_Chicago_0_patch.tiff,dataset/urban_masks/urban_LC80220312019257LGN00_Chicago_0_mask.tiff
Chicago,dataset/urban_patches/urban_LC80220312019257LGN00_Chicago_1_patch.tiff,dataset/urban_masks/urban_LC80220312019257LGN00_Chicago_1_mask.tiff
Chicago,dataset/urban_patches/urban_LC80220312019257LGN00_Chicago_3_patch.tiff,dataset/urban_masks/urban_LC80220312019257LGN00_Chicago_3_mask.tiff
Chicago,dataset/urban_patches/urban_LC80220312019273LGN00_Chicago_1_patch.tiff,dataset/urban_masks/urban_LC80220312019273LGN00_Chicago_1_mask.tiff
Chicago,dataset/urban_patches/urban_LC80230312019216LGN00_Chicago_3_patch.tiff,dataset/urban_masks/urban_LC80230312019216LGN00_Chicago_3_mask.tiff
St. Louis,dataset/urban_patches/urban_LC80240332019255LGN00_St. Louis_3_patch.tiff,dataset/urban_masks/urban_LC80240332019255LGN00_St. Louis_3_mask.tiff
Houston,dataset/urban_patches/urban_LC80250392019230LGN00_Houston_2_patch.tiff,dataset/urban_masks/urban_LC80250392019230LGN00_Houston_2_mask.tiff
Houston,dataset/urban_patches/urban_LC80250392019246LGN00_Houston_1_patch.tiff,dataset/urban_masks/urban_LC80250392019246LGN00_Houston_1_mask.tiff
Houston,dataset/urban_patches/urban_LC80250392019246LGN00_Houston_2_patch.tiff,dataset/urban_masks/urban_LC80250392019246LGN00_Houston_2_mask.tiff
San Antonio,dataset/urban_patches/urban_LC80270402019244LGN00_San Antonio_0_patch.tiff,dataset/urban_masks/urban_LC80270402019244LGN00_San Antonio_0_mask.tiff
Riverside,dataset/urban_patches/urban_LC80400372019239LGN00_Riverside_0_patch.tiff,dataset/urban_masks/urban_LC80400372019239LGN00_Riverside_0_mask.tiff
Tijuana,dataset/urban_patches/urban_LC80400372019255LGN00_Tijuana_0_patch.tiff,dataset/urban_masks/urban_LC80400372019255LGN00_Tijuana_0_mask.tiff
Sacramento,dataset/urban_patches/urban_LC80440332019235LGN00_Sacramento_0_patch.tiff,dataset/urban_masks/urban_LC80440332019235LGN00_Sacramento_0_mask.tiff
San Jose,dataset/urban_patches/urban_LC80440342019219LGN00_San Jose_2_patch.tiff,dataset/urban_masks/urban_LC80440342019219LGN00_San Jose_2_mask.tiff
San Jose,dataset/urban_patches/urban_LC80440342019251LGN00_San Jose_1_patch.tiff,dataset/urban_masks/urban_LC80440342019251LGN00_San Jose_1_mask.tiff
Seattle,dataset/urban_patches/urban_LC80470272019240LGN00_Seattle_3_patch.tiff,dataset/urban_masks/urban_LC80470272019240LGN00_Seattle_3_mask.tiff
Vancouver,dataset/urban_patches/urban_LC80480252019263LGN00_Vancouver_3_patch.tiff,dataset/urban_masks/urban_LC80480252019263LGN00_Vancouver_3_mask.tiff
Berlin,dataset/urban_patches/urban_LC80492212019270LGN00_Berlin_2_patch.tiff,dataset/urban_masks/urban_LC80492212019270LGN00_Berlin_2_mask.tiff
Tokyo,dataset/urban_patches/urban_LC81070352019213LGN00_Tokyo_1_patch.tiff,dataset/urban_masks/urban_LC81070352019213LGN00_Tokyo_1_mask.tiff
Tokyo,dataset/urban_patches/urban_LC81070352019213LGN00_Tokyo_3_patch.tiff,dataset/urban_masks/urban_LC81070352019213LGN00_Tokyo_3_mask.tiff
Busan,dataset/urban_patches/urban_LC81140352019214LGN00_Busan_0_patch.tiff,dataset/urban_masks/urban_LC81140352019214LGN00_Busan_0_mask.tiff
Busan,dataset/urban_patches/urban_LC81140352019214LGN00_Busan_1_patch.tiff,dataset/urban_masks/urban_LC81140352019214LGN00_Busan_1_mask.tiff
Busan,dataset/urban_patches/urban_LC81140352019214LGN00_Busan_3_patch.tiff,dataset/urban_masks/urban_LC81140352019214LGN00_Busan_3_mask.tiff
Jiamusi,dataset/urban_patches/urban_LC81150272019253LGN00_Jiamusi_0_patch.tiff,dataset/urban_masks/urban_LC81150272019253LGN00_Jiamusi_0_mask.tiff
Jiamusi,dataset/urban_patches/urban_LC81150272019253LGN00_Jiamusi_1_patch.tiff,dataset/urban_masks/urban_LC81150272019253LGN00_Jiamusi_1_mask.tiff
Jiamusi,dataset/urban_patches/urban_LC81150272019253LGN00_Jiamusi_3_patch.tiff,dataset/urban_masks/urban_LC81150272019253LGN00_Jiamusi_3_mask.tiff
Jiamusi,dataset/urban_patches/urban_LC81150272019269LGN00_Jiamusi_1_patch.tiff,dataset/urban_masks/urban_LC81150272019269LGN00_Jiamusi_1_mask.tiff
Jiamusi,dataset/urban_patches/urban_LC81150272019269LGN00_Jiamusi_3_patch.tiff,dataset/urban_masks/urban_LC81150272019269LGN00_Jiamusi_3_mask.tiff
Jixi,dataset/urban_patches/urban_LC81150282019237LGN00_Jixi_2_patch.tiff,dataset/urban_masks/urban_LC81150282019237LGN00_Jixi_2_mask.tiff
Jiamusi,dataset/urban_patches/urban_LC81150282019253LGN00_Jiamusi_0_patch.tiff,dataset/urban_masks/urban_LC81150282019253LGN00_Jiamusi_0_mask.tiff
Jiamusi,dataset/urban_patches/urban_LC81150282019253LGN00_Jiamusi_1_patch.tiff,dataset/urban_masks/urban_LC81150282019253LGN00_Jiamusi_1_mask.tiff
Jiamusi,dataset/urban_patches/urban_LC81150282019253LGN00_Jiamusi_2_patch.tiff,dataset/urban_masks/urban_LC81150282019253LGN00_Jiamusi_2_mask.tiff
Jiamusi,dataset/urban_patches/urban_LC81150282019253LGN00_Jiamusi_3_patch.tiff,dataset/urban_masks/urban_LC81150282019253LGN00_Jiamusi_3_mask.tiff
Jixi,dataset/urban_patches/urban_LC81150282019253LGN00_Jixi_0_patch.tiff,dataset/urban_masks/urban_LC81150282019253LGN00_Jixi_0_mask.tiff
Jixi,dataset/urban_patches/urban_LC81150282019253LGN00_Jixi_1_patch.tiff,dataset/urban_masks/urban_LC81150282019253LGN00_Jixi_1_mask.tiff
Jiamusi,dataset/urban_patches/urban_LC81150282019269LGN00_Jiamusi_1_patch.tiff,dataset/urban_masks/urban_LC81150282019269LGN00_Jiamusi_1_mask.tiff
Jiamusi,dataset/urban_patches/urban_LC81150282019269LGN00_Jiamusi_2_patch.tiff,dataset/urban_masks/urban_LC81150282019269LGN00_Jiamusi_2_mask.tiff
Jixi,dataset/urban_patches/urban_LC81150282019269LGN00_Jixi_0_patch.tiff,dataset/urban_masks/urban_LC81150282019269LGN00_Jixi_0_mask.tiff
Jixi,dataset/urban_patches/urban_LC81150282019269LGN00_Jixi_1_patch.tiff,dataset/urban_masks/urban_LC81150282019269LGN00_Jixi_1_mask.tiff
Jixi,dataset/urban_patches/urban_LC81150282019269LGN00_Jixi_2_patch.tiff,dataset/urban_masks/urban_LC81150282019269LGN00_Jixi_2_mask.tiff
Mudanjiang,dataset/urban_patches/urban_LC81150292019237LGN00_Mudanjiang_2_patch.tiff,dataset/urban_masks/urban_LC81150292019237LGN00_Mudanjiang_2_mask.tiff
Mudanjiang,dataset/urban_patches/urban_LC81150292019237LGN00_Mudanjiang_3_patch.tiff,dataset/urban_masks/urban_LC81150292019237LGN00_Mudanjiang_3_mask.tiff
Mudanjiang,dataset/urban_patches/urban_LC81150292019253LGN00_Mudanjiang_0_patch.tiff,dataset/urban_masks/urban_LC81150292019253LGN00_Mudanjiang_0_mask.tiff
Mudanjiang,dataset/urban_patches/urban_LC81150292019253LGN00_Mudanjiang_2_patch.tiff,dataset/urban_masks/urban_LC81150292019253LGN00_Mudanjiang_2_mask.tiff
Mudanjiang,dataset/urban_patches/urban_LC81150292019253LGN00_Mudanjiang_3_patch.tiff,dataset/urban_masks/urban_LC81150292019253LGN00_Mudanjiang_3_mask.tiff
Jixi,dataset/urban_patches/urban_LC81150292019269LGN00_Jixi_0_patch.tiff,dataset/urban_masks/urban_LC81150292019269LGN00_Jixi_0_mask.tiff
Jixi,dataset/urban_patches/urban_LC81150292019269LGN00_Jixi_3_patch.tiff,dataset/urban_masks/urban_LC81150292019269LGN00_Jixi_3_mask.tiff
Jiamusi,dataset/urban_patches/urban_LC81160272019260LGN00_Jiamusi_0_patch.tiff,dataset/urban_masks/urban_LC81160272019260LGN00_Jiamusi_0_mask.tiff
Jiamusi,dataset/urban_patches/urban_LC81160272019260LGN00_Jiamusi_1_patch.tiff,dataset/urban_masks/urban_LC81160272019260LGN00_Jiamusi_1_mask.tiff
Jiamusi,dataset/urban_patches/urban_LC81160272019260LGN00_Jiamusi_2_patch.tiff,dataset/urban_masks/urban_LC81160272019260LGN00_Jiamusi_2_mask.tiff
Jiamusi,dataset/urban_patches/urban_LC81160272019260LGN00_Jiamusi_3_patch.tiff,dataset/urban_masks/urban_LC81160272019260LGN00_Jiamusi_3_mask.tiff
Mudanjiang,dataset/urban_patches/urban_LC81160292019244LGN00_Mudanjiang_2_patch.tiff,dataset/urban_masks/urban_LC81160292019244LGN00_Mudanjiang_2_mask.tiff
Suihua,dataset/urban_patches/urban_LC81170282019267LGN00_Suihua_0_patch.tiff,dataset/urban_masks/urban_LC81170282019267LGN00_Suihua_0_mask.tiff
Jilin,dataset/urban_patches/urban_LC81170292019267LGN00_Jilin_1_patch.tiff,dataset/urban_masks/urban_LC81170292019267LGN00_Jilin_1_mask.tiff
Jilin,dataset/urban_patches/urban_LC81170292019267LGN00_Jilin_3_patch.tiff,dataset/urban_masks/urban_LC81170292019267LGN00_Jilin_3_mask.tiff
Jilin,dataset/urban_patches/urban_LC81170302019251LGN00_Jilin_1_patch.tiff,dataset/urban_masks/urban_LC81170302019251LGN00_Jilin_1_mask.tiff
Jilin,dataset/urban_patches/urban_LC81170302019251LGN00_Jilin_3_patch.tiff,dataset/urban_masks/urban_LC81170302019251LGN00_Jilin_3_mask.tiff
Jilin,dataset/urban_patches/urban_LC81170302019267LGN00_Jilin_3_patch.tiff,dataset/urban_masks/urban_LC81170302019267LGN00_Jilin_3_mask.tiff
Pyongyang,dataset/urban_patches/urban_LC81170332019235LGN00_Pyongyang_0_patch.tiff,dataset/urban_masks/urban_LC81170332019235LGN00_Pyongyang_0_mask.tiff
Pyongyang,dataset/urban_patches/urban_LC81170332019235LGN00_Pyongyang_1_patch.tiff,dataset/urban_masks/urban_LC81170332019235LGN00_Pyongyang_1_mask.tiff
Pyongyang,dataset/urban_patches/urban_LC81170332019235LGN00_Pyongyang_2_patch.tiff,dataset/urban_masks/urban_LC81170332019235LGN00_Pyongyang_2_mask.tiff
Taichung,dataset/urban_patches/urban_LC81170432019235LGN00_Taichung_2_patch.tiff,dataset/urban_masks/urban_LC81170432019235LGN00_Taichung_2_mask.tiff
Indianapolis,dataset/urban_patches/urban_LC81172122019267LGN00_Indianapolis_2_patch.tiff,dataset/urban_masks/urban_LC81172122019267LGN00_Indianapolis_2_mask.tiff
Suihua,dataset/urban_patches/urban_LC81180272019258LGN00_Suihua_0_patch.tiff,dataset/urban_masks/urban_LC81180272019258LGN00_Suihua_0_mask.tiff
Suihua,dataset/urban_patches/urban_LC81180272019258LGN00_Suihua_1_patch.tiff,dataset/urban_masks/urban_LC81180272019258LGN00_Suihua_1_mask.tiff
Suihua,dataset/urban_patches/urban_LC81180272019258LGN00_Suihua_2_patch.tiff,dataset/urban_masks/urban_LC81180272019258LGN00_Suihua_2_mask.tiff
Suihua,dataset/urban_patches/urban_LC81180272019258LGN00_Suihua_3_patch.tiff,dataset/urban_masks/urban_LC81180272019258LGN00_Suihua_3_mask.tiff
Harbin,dataset/urban_patches/urban_LC81180282019258LGN00_Harbin_0_patch.tiff,dataset/urban_masks/urban_LC81180282019258LGN00_Harbin_0_mask.tiff
Harbin,dataset/urban_patches/urban_LC81180282019258LGN00_Harbin_1_patch.tiff,dataset/urban_masks/urban_LC81180282019258LGN00_Harbin_1_mask.tiff
Harbin,dataset/urban_patches/urban_LC81180282019258LGN00_Harbin_2_patch.tiff,dataset/urban_masks/urban_LC81180282019258LGN00_Harbin_2_mask.tiff
Harbin,dataset/urban_patches/urban_LC81180282019258LGN00_Harbin_3_patch.tiff,dataset/urban_masks/urban_LC81180282019258LGN00_Harbin_3_mask.tiff
Suihua,dataset/urban_patches/urban_LC81180282019258LGN00_Suihua_0_patch.tiff,dataset/urban_masks/urban_LC81180282019258LGN00_Suihua_0_mask.tiff
Suihua,dataset/urban_patches/urban_LC81180282019258LGN00_Suihua_1_patch.tiff,dataset/urban_masks/urban_LC81180282019258LGN00_Suihua_1_mask.tiff
Suihua,dataset/urban_patches/urban_LC81180282019258LGN00_Suihua_2_patch.tiff,dataset/urban_masks/urban_LC81180282019258LGN00_Suihua_2_mask.tiff
Suihua,dataset/urban_patches/urban_LC81180282019258LGN00_Suihua_3_patch.tiff,dataset/urban_masks/urban_LC81180282019258LGN00_Suihua_3_mask.tiff
Changchun,dataset/urban_patches/urban_LC81180292019242LGN03_Changchun_3_patch.tiff,dataset/urban_masks/urban_LC81180292019242LGN03_Changchun_3_mask.tiff
Changchun,dataset/urban_patches/urban_LC81180292019258LGN00_Changchun_0_patch.tiff,dataset/urban_masks/urban_LC81180292019258LGN00_Changchun_0_mask.tiff
Changchun,dataset/urban_patches/urban_LC81180292019258LGN00_Changchun_2_patch.tiff,dataset/urban_masks/urban_LC81180292019258LGN00_Changchun_2_mask.tiff
Changchun,dataset/urban_patches/urban_LC81180292019258LGN00_Changchun_3_patch.tiff,dataset/urban_masks/urban_LC81180292019258LGN00_Changchun_3_mask.tiff
Jilin,dataset/urban_patches/urban_LC81180292019258LGN00_Jilin_0_patch.tiff,dataset/urban_masks/urban_LC81180292019258LGN00_Jilin_0_mask.tiff
Jilin,dataset/urban_patches/urban_LC81180292019258LGN00_Jilin_2_patch.tiff,dataset/urban_masks/urban_LC81180292019258LGN00_Jilin_2_mask.tiff
Jilin,dataset/urban_patches/urban_LC81180302019258LGN00_Jilin_0_patch.tiff,dataset/urban_masks/urban_LC81180302019258LGN00_Jilin_0_mask.tiff
Jilin,dataset/urban_patches/urban_LC81180302019258LGN00_Jilin_1_patch.tiff,dataset/urban_masks/urban_LC81180302019258LGN00_Jilin_1_mask.tiff
Jilin,dataset/urban_patches/urban_LC81180302019258LGN00_Jilin_2_patch.tiff,dataset/urban_masks/urban_LC81180302019258LGN00_Jilin_2_mask.tiff
Jilin,dataset/urban_patches/urban_LC81180302019258LGN00_Jilin_3_patch.tiff,dataset/urban_masks/urban_LC81180302019258LGN00_Jilin_3_mask.tiff
Dandong,dataset/urban_patches/urban_LC81180322019258LGN00_Dandong_0_patch.tiff,dataset/urban_masks/urban_LC81180322019258LGN00_Dandong_0_mask.tiff
Dandong,dataset/urban_patches/urban_LC81180322019258LGN00_Dandong_2_patch.tiff,dataset/urban_masks/urban_LC81180322019258LGN00_Dandong_2_mask.tiff
Tainan,dataset/urban_patches/urban_LC81180442019258LGN00_Tainan_0_patch.tiff,dataset/urban_masks/urban_LC81180442019258LGN00_Tainan_0_mask.tiff
Tainan,dataset/urban_patches/urban_LC81180442019258LGN00_Tainan_1_patch.tiff,dataset/urban_masks/urban_LC81180442019258LGN00_Tainan_1_mask.tiff
Tainan,dataset/urban_patches/urban_LC81180442019258LGN00_Tainan_3_patch.tiff,dataset/urban_masks/urban_LC81180442019258LGN00_Tainan_3_mask.tiff
Malang,dataset/urban_patches/urban_LC81180652019242LGN03_Malang_0_patch.tiff,dataset/urban_masks/urban_LC81180652019242LGN03_Malang_0_mask.tiff
Malang,dataset/urban_patches/urban_LC81180652019242LGN03_Malang_1_patch.tiff,dataset/urban_masks/urban_LC81180652019242LGN03_Malang_1_mask.tiff
Malang,dataset/urban_patches/urban_LC81180652019242LGN03_Malang_2_patch.tiff,dataset/urban_masks/urban_LC81180652019242LGN03_Malang_2_mask.tiff
Malang,dataset/urban_patches/urban_LC81180652019242LGN03_Malang_3_patch.tiff,dataset/urban_masks/urban_LC81180652019242LGN03_Malang_3_mask.tiff
Malang,dataset/urban_patches/urban_LC81180652019258LGN00_Malang_0_patch.tiff,dataset/urban_masks/urban_LC81180652019258LGN00_Malang_0_mask.tiff
Malang,dataset/urban_patches/urban_LC81180652019258LGN00_Malang_1_patch.tiff,dataset/urban_masks/urban_LC81180652019258LGN00_Malang_1_mask.tiff
Malang,dataset/urban_patches/urban_LC81180652019258LGN00_Malang_3_patch.tiff,dataset/urban_masks/urban_LC81180652019258LGN00_Malang_3_mask.tiff
Malang,dataset/urban_patches/urban_LC81180662019258LGN00_Malang_2_patch.tiff,dataset/urban_masks/urban_LC81180662019258LGN00_Malang_2_mask.tiff
Daqing,dataset/urban_patches/urban_LC81190272019249LGN00_Daqing_0_patch.tiff,dataset/urban_masks/urban_LC81190272019249LGN00_Daqing_0_mask.tiff
Daqing,dataset/urban_patches/urban_LC81190272019249LGN00_Daqing_1_patch.tiff,dataset/urban_masks/urban_LC81190272019249LGN00_Daqing_1_mask.tiff
Daqing,dataset/urban_patches/urban_LC81190272019249LGN00_Daqing_2_patch.tiff,dataset/urban_masks/urban_LC81190272019249LGN00_Daqing_2_mask.tiff
Daqing,dataset/urban_patches/urban_LC81190272019249LGN00_Daqing_3_patch.tiff,dataset/urban_masks/urban_LC81190272019249LGN00_Daqing_3_mask.tiff
Daqing,dataset/urban_patches/urban_LC81190282019249LGN00_Daqing_1_patch.tiff,dataset/urban_masks/urban_LC81190282019249LGN00_Daqing_1_mask.tiff
Daqing,dataset/urban_patches/urban_LC81190282019265LGN00_Daqing_0_patch.tiff,dataset/urban_masks/urban_LC81190282019265LGN00_Daqing_0_mask.tiff
Daqing,dataset/urban_patches/urban_LC81190282019265LGN00_Daqing_1_patch.tiff,dataset/urban_masks/urban_LC81190282019265LGN00_Daqing_1_mask.tiff
Daqing,dataset/urban_patches/urban_LC81190282019265LGN00_Daqing_3_patch.tiff,dataset/urban_masks/urban_LC81190282019265LGN00_Daqing_3_mask.tiff
Changchun,dataset/urban_patches/urban_LC81190292019217LGN00_Changchun_0_patch.tiff,dataset/urban_masks/urban_LC81190292019217LGN00_Changchun_0_mask.tiff
Changchun,dataset/urban_patches/urban_LC81190292019217LGN00_Changchun_1_patch.tiff,dataset/urban_masks/urban_LC81190292019217LGN00_Changchun_1_mask.tiff
Changchun,dataset/urban_patches/urban_LC81190292019217LGN00_Changchun_2_patch.tiff,dataset/urban_masks/urban_LC81190292019217LGN00_Changchun_2_mask.tiff
Changchun,dataset/urban_patches/urban_LC81190292019217LGN00_Changchun_3_patch.tiff,dataset/urban_masks/urban_LC81190292019217LGN00_Changchun_3_mask.tiff
Changchun,dataset/urban_patches/urban_LC81190292019249LGN00_Changchun_1_patch.tiff,dataset/urban_masks/urban_LC81190292019249LGN00_Changchun_1_mask.tiff
Changchun,dataset/urban_patches/urban_LC81190292019249LGN00_Changchun_3_patch.tiff,dataset/urban_masks/urban_LC81190292019249LGN00_Changchun_3_mask.tiff
Siping,dataset/urban_patches/urban_LC81190302019233LGN00_Siping_1_patch.tiff,dataset/urban_masks/urban_LC81190302019233LGN00_Siping_1_mask.tiff
Siping,dataset/urban_patches/urban_LC81190302019233LGN00_Siping_3_patch.tiff,dataset/urban_masks/urban_LC81190302019233LGN00_Siping_3_mask.tiff
Siping,dataset/urban_patches/urban_LC81190302019265LGN00_Siping_0_patch.tiff,dataset/urban_masks/urban_LC81190302019265LGN00_Siping_0_mask.tiff
Anshan,dataset/urban_patches/urban_LC81190312019233LGN00_Anshan_1_patch.tiff,dataset/urban_masks/urban_LC81190312019233LGN00_Anshan_1_mask.tiff
Anshan,dataset/urban_patches/urban_LC81190312019233LGN00_Anshan_2_patch.tiff,dataset/urban_masks/urban_LC81190312019233LGN00_Anshan_2_mask.tiff
Shenyang,dataset/urban_patches/urban_LC81190312019233LGN00_Shenyang_2_patch.tiff,dataset/urban_masks/urban_LC81190312019233LGN00_Shenyang_2_mask.tiff
Shenyang,dataset/urban_patches/urban_LC81190312019233LGN00_Shenyang_3_patch.tiff,dataset/urban_masks/urban_LC81190312019233LGN00_Shenyang_3_mask.tiff
Anshan,dataset/urban_patches/urban_LC81190312019249LGN00_Anshan_1_patch.tiff,dataset/urban_masks/urban_LC81190312019249LGN00_Anshan_1_mask.tiff
Shenyang,dataset/urban_patches/urban_LC81190312019265LGN00_Shenyang_0_patch.tiff,dataset/urban_masks/urban_LC81190312019265LGN00_Shenyang_0_mask.tiff
Shenyang,dataset/urban_patches/urban_LC81190312019265LGN00_Shenyang_1_patch.tiff,dataset/urban_masks/urban_LC81190312019265LGN00_Shenyang_1_mask.tiff
Tieling,dataset/urban_patches/urban_LC81190312019265LGN00_Tieling_0_patch.tiff,dataset/urban_masks/urban_LC81190312019265LGN00_Tieling_0_mask.tiff
Tieling,dataset/urban_patches/urban_LC81190312019265LGN00_Tieling_1_patch.tiff,dataset/urban_masks/urban_LC81190312019265LGN00_Tieling_1_mask.tiff
Anshan,dataset/urban_patches/urban_LC81190322019233LGN00_Anshan_0_patch.tiff,dataset/urban_masks/urban_LC81190322019233LGN00_Anshan_0_mask.tiff
Anshan,dataset/urban_patches/urban_LC81190322019233LGN00_Anshan_2_patch.tiff,dataset/urban_masks/urban_LC81190322019233LGN00_Anshan_2_mask.tiff
Wuxi,dataset/urban_patches/urban_LC81190382019217LGN00_Wuxi_2_patch.tiff,dataset/urban_masks/urban_LC81190382019217LGN00_Wuxi_2_mask.tiff
Changzhou,dataset/urban_patches/urban_LC81190382019233LGN00_Changzhou_1_patch.tiff,dataset/urban_masks/urban_LC81190382019233LGN00_Changzhou_1_mask.tiff
Changzhou,dataset/urban_patches/urban_LC81190382019233LGN00_Changzhou_2_patch.tiff,dataset/urban_masks/urban_LC81190382019233LGN00_Changzhou_2_mask.tiff
Nantong,dataset/urban_patches/urban_LC81190382019233LGN00_Nantong_3_patch.tiff,dataset/urban_masks/urban_LC81190382019233LGN00_Nantong_3_mask.tiff
Suzhou,dataset/urban_patches/urban_LC81190382019233LGN00_Suzhou_0_patch.tiff,dataset/urban_masks/urban_LC81190382019233LGN00_Suzhou_0_mask.tiff
Suzhou,dataset/urban_patches/urban_LC81190382019233LGN00_Suzhou_2_patch.tiff,dataset/urban_masks/urban_LC81190382019233LGN00_Suzhou_2_mask.tiff
Suzhou,dataset/urban_patches/urban_LC81190382019233LGN00_Suzhou_3_patch.tiff,dataset/urban_masks/urban_LC81190382019233LGN00_Suzhou_3_mask.tiff
Taizhou,dataset/urban_patches/urban_LC81190382019233LGN00_Taizhou_0_patch.tiff,dataset/urban_masks/urban_LC81190382019233LGN00_Taizhou_0_mask.tiff
Wuxi,dataset/urban_patches/urban_LC81190382019233LGN00_Wuxi_1_patch.tiff,dataset/urban_masks/urban_LC81190382019233LGN00_Wuxi_1_mask.tiff
Nantong,dataset/urban_patches/urban_LC81190382019249LGN00_Nantong_2_patch.tiff,dataset/urban_masks/urban_LC81190382019249LGN00_Nantong_2_mask.tiff
Shaoxing,dataset/urban_patches/urban_LC81190392019217LGN00_Shaoxing_0_patch.tiff,dataset/urban_masks/urban_LC81190392019217LGN00_Shaoxing_0_mask.tiff
Shaoxing,dataset/urban_patches/urban_LC81190392019233LGN00_Shaoxing_2_patch.tiff,dataset/urban_masks/urban_LC81190392019233LGN00_Shaoxing_2_mask.tiff
Lishui,dataset/urban_patches/urban_LC81190402019217LGN00_Lishui_1_patch.tiff,dataset/urban_masks/urban_LC81190402019217LGN00_Lishui_1_mask.tiff
Ningde,dataset/urban_patches/urban_LC81190412019233LGN00_Ningde_2_patch.tiff,dataset/urban_masks/urban_LC81190412019233LGN00_Ningde_2_mask.tiff
Nanping,dataset/urban_patches/urban_LC81190422019233LGN00_Nanping_1_patch.tiff,dataset/urban_masks/urban_LC81190422019233LGN00_Nanping_1_mask.tiff
Nanping,dataset/urban_patches/urban_LC81190422019233LGN00_Nanping_3_patch.tiff,dataset/urban_masks/urban_LC81190422019233LGN00_Nanping_3_mask.tiff
Fuzhou,dataset/urban_patches/urban_LC81190422019249LGN00_Fuzhou_2_patch.tiff,dataset/urban_masks/urban_LC81190422019249LGN00_Fuzhou_2_mask.tiff
Nanping,dataset/urban_patches/urban_LC81190422019249LGN00_Nanping_2_patch.tiff,dataset/urban_masks/urban_LC81190422019249LGN00_Nanping_2_mask.tiff
